N,P,K,temperature,humidity,ph,rainfall,label
64.68,36.68,21.01,25.87,69.17,6.69,103.35,maize
97.59,53.75,21.65,22.76,71.74,6.22,88.93,maize
85.11,40.25,16.75,26.45,68.95,5.68,81.93,maize
73.4,57.45,24.14,25.19,68.6,5.69,96.26,maize
65.57,40.13,19.19,26.98,67.37,6.53,84.33,maize
91.76,39.77,18.83,21.16,70.05,6.15,103.67,maize
84.8,35.91,20.19,24.9,58.17,5.8,105.04,maize
81.34,46.8,15.47,21.62,72.62,6.24,81.09,maize
95.76,49.12,16.66,22.32,72.44,5.6,73.84,maize
91.54,36.64,22.38,23.65,55.58,6.37,89.62,maize
66.07,54.39,15.83,25.86,71.52,5.9,105.62,maize
72.47,46.33,21.03,26.86,57.58,6.7,70.53,maize
69.94,48.11,17.45,24.91,61.7,5.97,91.15,maize
89.76,46.02,18.89,21.76,69.87,6.18,91.58,maize
61.34,45.02,17.89,21.79,58.22,5.52,96.66,maize
82.8,48.99,18.56,24.64,71.36,5.61,66.58,maize
90.5,38.88,22.19,20.15,71.64,6.09,95.79,maize
95.07,39.55,17.97,18.99,65.15,6.22,105.45,maize
73.68,56.54,20.66,21.19,55.13,6.4,68.98,maize
92.85,58.65,19.76,20.59,60.74,5.94,71.88,maize
64.43,44.33,21.64,20.67,67.34,6.54,108.57,maize
93.86,41.77,24.37,20.1,74.62,6.79,69.05,maize
65.1,51.1,22.33,18.38,67.64,6.67,102.72,maize
75.89,45.22,17.15,18.16,60.2,5.56,84.61,maize
91.89,35.63,15.31,26.89,67.68,6.22,72.36,maize
66.0,38.9,17.62,21.85,65.8,5.66,103.54,maize
69.17,52.9,20.95,21.46,70.6,5.86,82.27,maize
88.89,51.47,15.51,24.12,57.14,6.98,85.74,maize
88.8,35.68,19.96,19.96,70.22,5.71,77.96,maize
85.65,40.55,20.97,26.55,65.83,6.25,89.65,maize
87.76,40.78,18.34,25.08,74.26,6.43,68.18,maize
81.71,51.8,22.71,18.8,61.84,6.55,79.55,maize
70.07,35.49,16.07,21.76,67.65,6.34,108.47,maize
73.83,37.6,15.75,25.91,73.64,5.51,72.91,maize
67.26,55.0,22.28,26.5,57.05,5.99,92.84,maize
96.34,39.46,19.95,22.21,73.74,6.28,76.26,maize
83.34,51.32,21.88,23.52,68.76,5.63,98.67,maize
76.03,40.95,19.35,19.5,56.36,6.03,66.54,maize
78.48,37.49,17.46,26.92,61.02,5.55,108.49,maize
97.89,41.08,23.19,20.09,69.16,5.62,82.69,maize
66.13,53.06,22.99,26.48,56.35,6.1,71.8,maize
83.45,56.39,21.95,23.85,66.64,5.7,63.67,maize
80.24,55.76,17.72,23.47,61.92,6.35,68.49,maize
84.46,44.93,20.9,22.61,67.42,6.53,85.99,maize
60.72,51.7,18.61,20.08,55.91,6.7,76.85,maize
94.88,40.12,15.92,19.59,72.43,5.8,101.44,maize
97.28,42.33,24.17,19.98,74.47,5.75,81.54,maize
82.61,57.41,16.37,19.68,74.38,5.66,72.44,maize
87.87,35.33,24.5,25.02,69.99,6.45,90.86,maize
96.9,37.14,19.46,21.15,57.6,6.56,95.34,maize
25.01,67.98,76.92,20.86,19.74,7.39,72.85,chickpea
25.03,66.98,78.23,18.73,18.43,6.01,72.41,chickpea
21.1,55.64,77.27,18.25,16.12,7.9,92.19,chickpea
42.09,63.53,78.55,19.02,15.78,6.09,72.49,chickpea
39.91,64.5,75.69,18.76,16.1,7.86,73.16,chickpea
34.24,64.97,80.19,17.42,18.65,6.51,87.78,chickpea
45.33,69.5,75.68,19.56,17.97,8.4,78.49,chickpea
44.17,68.34,83.0,17.86,15.11,6.92,88.3,chickpea
37.56,70.2,77.34,19.48,15.04,6.82,66.96,chickpea
46.05,74.12,80.4,19.6,14.59,6.37,79.63,chickpea
26.18,75.32,83.8,17.61,17.96,6.76,66.01,chickpea
23.36,72.95,81.51,17.25,18.59,8.19,66.88,chickpea
28.09,78.89,80.33,20.12,15.59,8.49,92.19,chickpea
21.71,55.46,78.24,18.84,14.13,6.92,69.18,chickpea
35.94,59.89,78.33,17.23,14.49,7.12,80.97,chickpea
48.1,55.19,81.69,20.98,19.81,7.81,77.33,chickpea
21.18,71.19,84.94,17.23,15.77,8.22,75.42,chickpea
23.66,77.45,81.62,19.78,18.62,7.48,92.0,chickpea
33.57,61.09,80.58,20.93,17.75,6.98,65.65,chickpea
48.02,78.18,82.31,17.96,16.29,7.03,84.91,chickpea
29.48,56.51,79.65,17.57,15.23,7.74,93.9,chickpea
35.22,78.36,75.6,17.49,14.73,6.01,81.81,chickpea
21.25,63.79,80.62,18.21,17.69,7.55,93.1,chickpea
24.45,57.54,84.58,17.4,18.65,6.89,66.57,chickpea
49.6,67.15,76.75,19.77,17.86,7.99,77.56,chickpea
48.95,61.42,81.9,17.25,17.18,6.23,72.8,chickpea
20.15,62.12,77.01,19.04,14.25,7.47,86.92,chickpea
48.55,62.68,80.36,20.99,19.81,7.2,94.44,chickpea
39.17,75.08,75.97,20.26,18.79,7.61,72.7,chickpea
46.04,68.48,79.5,19.46,15.76,6.16,84.63,chickpea
33.64,62.78,82.56,18.23,19.88,7.45,70.94,chickpea
35.47,70.26,78.48,19.5,17.61,7.4,81.96,chickpea
34.67,72.9,81.65,19.11,17.49,7.4,78.92,chickpea
40.01,61.82,82.95,18.7,18.49,7.51,94.16,chickpea
24.19,65.34,84.27,17.52,18.87,7.69,83.26,chickpea
20.9,58.05,77.35,20.55,17.94,8.01,75.49,chickpea
29.24,59.53,78.99,18.8,14.77,6.67,68.42,chickpea
41.14,72.03,76.52,17.78,16.03,8.06,69.54,chickpea
26.06,59.54,84.92,18.47,19.57,7.25,71.76,chickpea
40.2,68.13,84.27,18.66,15.35,6.19,72.53,chickpea
49.1,72.73,80.4,20.31,16.23,6.15,90.52,chickpea
22.82,57.67,83.42,19.93,16.59,6.84,81.84,chickpea
40.18,69.18,80.21,20.08,16.64,7.96,80.7,chickpea
33.31,61.41,81.24,17.04,17.68,7.77,68.44,chickpea
46.04,79.07,75.89,18.66,19.66,7.97,90.8,chickpea
25.31,67.09,82.55,18.93,15.44,7.29,86.68,chickpea
40.78,75.15,76.28,17.08,14.73,7.1,67.03,chickpea
45.14,68.76,83.26,18.04,15.18,6.37,86.24,chickpea
48.34,56.09,82.82,20.04,19.32,6.82,81.31,chickpea
40.5,70.83,82.09,17.55,17.87,7.09,67.45,chickpea
34.92,78.79,75.36,19.14,15.72,6.22,78.75,chickpea
38.54,70.04,78.03,17.86,18.9,6.55,79.54,chickpea
46.07,75.48,77.63,17.05,19.17,7.5,69.97,chickpea
37.12,77.11,78.6,17.96,19.08,7.84,93.37,chickpea
20.91,60.7,75.88,20.9,19.51,8.5,90.5,chickpea
47.93,60.3,84.37,20.21,15.51,8.33,85.07,chickpea
40.69,70.27,80.54,20.84,18.53,7.61,78.87,chickpea
40.3,65.28,78.06,18.95,16.76,7.05,77.35,chickpea
26.47,76.0,78.97,17.44,19.05,7.59,84.53,chickpea
39.77,77.5,79.47,19.19,18.37,7.96,81.36,chickpea
31.82,63.84,81.01,18.82,18.66,6.3,66.87,chickpea
39.54,60.92,80.16,20.38,17.94,7.02,80.38,chickpea
23.2,74.51,84.19,17.39,15.06,8.1,89.19,chickpea
39.74,61.87,79.97,18.95,17.27,6.96,78.78,chickpea
49.98,75.57,84.92,17.6,19.91,7.43,66.56,chickpea
21.45,65.59,83.51,18.3,19.62,7.47,88.59,chickpea
49.32,71.69,77.09,19.95,14.26,6.46,71.04,chickpea
32.21,57.39,84.31,18.9,14.99,6.91,72.76,chickpea
46.12,70.6,76.16,18.5,14.79,6.84,69.94,chickpea
43.47,66.29,83.17,18.58,18.36,6.07,74.91,chickpea
37.01,69.67,78.81,18.84,18.91,6.06,87.7,chickpea
42.15,59.2,83.78,20.14,15.28,8.08,80.58,chickpea
46.36,73.42,83.68,20.57,17.04,6.68,71.15,chickpea
32.12,76.57,83.06,20.82,19.04,7.3,91.33,chickpea
29.81,60.42,82.9,20.15,18.4,6.75,91.39,chickpea
40.03,57.39,78.05,18.26,17.25,8.35,91.12,chickpea
44.24,55.59,75.81,19.75,17.54,6.65,72.16,chickpea
42.87,71.05,79.03,18.75,17.05,7.07,78.54,chickpea
43.93,70.18,76.74,18.02,15.79,8.18,94.55,chickpea
33.07,68.67,81.95,20.36,17.39,8.1,88.16,chickpea
44.54,60.8,78.46,17.15,18.13,6.47,65.82,chickpea
23.61,64.77,84.76,20.61,19.24,8.01,66.96,chickpea
36.33,69.86,81.41,18.85,17.82,7.15,78.92,chickpea
20.17,67.42,83.22,19.55,18.57,7.21,92.28,chickpea
29.74,79.69,76.33,19.64,14.96,6.33,81.16,chickpea
30.99,58.41,83.62,20.58,16.77,6.2,79.93,chickpea
31.89,72.38,84.23,19.55,14.06,7.82,68.16,chickpea
40.86,65.11,79.87,19.46,15.48,7.24,84.7,chickpea
31.66,65.7,81.06,17.27,18.36,7.09,89.66,chickpea
33.46,72.94,82.65,19.07,19.95,7.82,76.41,chickpea
27.13,72.31,76.75,17.6,14.6,7.91,88.27,chickpea
31.2,79.78,80.03,19.95,16.41,6.4,93.93,chickpea
26.82,58.21,78.99,19.05,18.8,7.53,71.11,chickpea
22.2,57.6,76.46,19.72,15.22,6.34,80.7,chickpea
38.1,73.11,78.68,17.17,17.33,7.88,73.61,chickpea
40.05,69.46,75.68,17.34,18.4,7.64,88.79,chickpea
38.58,61.85,75.26,19.87,17.7,8.39,82.33,chickpea
33.9,56.99,76.35,17.29,15.13,6.17,84.04,chickpea
31.39,57.14,84.63,17.29,16.13,6.14,88.94,chickpea
45.9,77.35,80.5,17.05,18.7,6.71,76.88,chickpea
37.88,79.42,23.03,18.41,23.79,5.81,106.92,kidneybeans
28.33,57.77,20.72,15.72,23.35,5.53,147.84,kidneybeans
18.95,65.56,20.13,19.1,22.01,5.87,71.3,kidneybeans
32.4,56.05,17.93,18.11,24.69,5.66,61.53,kidneybeans
34.83,73.5,24.32,21.77,19.4,5.5,129.31,kidneybeans
22.92,77.95,18.97,21.06,18.76,5.76,132.64,kidneybeans
36.43,62.0,15.87,18.65,23.98,5.52,70.82,kidneybeans
37.65,76.46,21.17,17.18,21.07,5.64,83.9,kidneybeans
21.92,62.31,16.14,24.88,23.93,5.85,61.58,kidneybeans
39.59,77.77,18.45,19.54,24.25,5.53,86.4,kidneybeans
18.52,73.85,20.07,21.88,18.44,5.92,129.58,kidneybeans
20.05,75.12,23.74,16.41,24.18,5.5,106.62,kidneybeans
19.61,55.45,19.94,19.86,21.14,5.62,91.33,kidneybeans
37.35,79.07,22.02,15.28,21.57,5.87,93.46,kidneybeans
31.36,73.17,24.93,20.05,22.39,5.66,60.12,kidneybeans
18.8,62.62,16.31,24.64,24.48,5.55,86.98,kidneybeans
26.01,75.73,17.75,18.84,18.13,5.68,118.18,kidneybeans
30.38,62.04,18.95,15.39,21.34,5.64,147.68,kidneybeans
17.09,76.82,19.22,15.31,22.81,5.92,136.24,kidneybeans
37.06,57.81,19.11,18.88,23.06,5.66,62.12,kidneybeans
35.09,72.59,24.08,16.6,22.85,5.89,140.87,kidneybeans
27.63,68.52,22.14,15.23,18.94,5.95,130.49,kidneybeans
39.18,57.41,21.08,22.56,20.1,5.72,130.23,kidneybeans
25.44,61.05,18.09,19.59,20.51,5.95,101.22,kidneybeans
39.6,55.31,23.24,17.89,23.63,5.69,95.82,kidneybeans
31.7,66.72,24.55,24.0,19.95,5.98,87.26,kidneybeans
30.87,62.53,23.21,16.16,19.47,5.54,65.91,kidneybeans
19.15,69.96,15.02,24.56,24.7,5.84,80.54,kidneybeans
37.05,62.43,21.36,18.14,18.06,5.75,82.19,kidneybeans
25.69,62.5,15.51,23.88,24.98,5.69,103.57,kidneybeans
19.06,73.58,17.58,21.03,22.74,5.82,127.27,kidneybeans
15.32,56.2,15.6,23.27,23.8,5.85,102.64,kidneybeans
28.99,77.57,21.04,24.84,20.06,5.5,65.21,kidneybeans
28.18,76.31,21.87,17.88,18.1,5.58,146.2,kidneybeans
32.98,71.7,16.14,24.61,23.17,5.86,144.85,kidneybeans
37.26,69.83,18.84,18.89,23.84,5.83,130.67,kidneybeans
16.99,77.31,19.56,18.86,23.18,5.98,149.22,kidneybeans
33.29,59.63,18.69,18.4,19.0,5.88,109.0,kidneybeans
19.69,56.97,16.21,20.41,23.27,5.98,146.65,kidneybeans
36.45,60.99,19.19,16.54,23.38,5.85,66.8,kidneybeans
35.48,74.86,22.51,20.54,22.61,5.65,92.91,kidneybeans
28.52,55.87,15.71,20.42,23.36,5.55,80.28,kidneybeans
32.76,69.57,15.8,22.62,23.92,5.89,77.62,kidneybeans
22.86,79.89,18.55,23.34,22.3,5.82,72.67,kidneybeans
26.78,76.39,24.42,19.4,18.62,5.52,116.02,kidneybeans
35.54,68.04,21.69,18.02,21.41,5.68,130.32,kidneybeans
26.48,56.59,21.79,17.59,18.54,5.98,112.05,kidneybeans
23.94,75.78,18.62,16.95,20.85,5.75,73.23,kidneybeans
27.36,69.97,20.94,15.58,20.85,5.72,133.0,kidneybeans
35.71,57.87,15.1,18.42,18.46,5.73,117.24,kidneybeans
23.38,57.35,21.36,17.7,20.44,5.6,94.93,kidneybeans
19.34,77.74,24.13,24.66,18.78,5.68,120.67,kidneybeans
32.8,71.73,21.13,20.58,23.66,5.68,83.39,kidneybeans
35.65,75.73,23.74,18.47,24.63,5.53,91.07,kidneybeans
17.52,76.97,22.24,20.8,18.51,5.88,142.57,kidneybeans
21.0,69.29,16.21,16.39,24.69,5.71,86.15,kidneybeans
18.55,67.94,24.02,19.44,21.66,5.91,102.3,kidneybeans
23.7,65.76,15.66,21.26,20.1,5.93,140.11,kidneybeans
26.26,62.92,20.34,19.89,18.54,5.61,123.69,kidneybeans
33.72,65.86,16.42,19.02,21.5,5.83,65.6,kidneybeans
31.28,74.35,15.12,24.94,23.56,5.74,73.26,kidneybeans
30.52,70.05,19.22,23.8,22.95,5.94,60.71,kidneybeans
23.81,77.31,17.95,21.23,18.35,5.61,116.78,kidneybeans
36.04,66.08,19.86,20.69,18.51,5.84,100.29,kidneybeans
26.78,70.18,20.77,21.21,20.82,5.8,72.08,kidneybeans
39.48,70.78,15.44,17.01,20.07,5.65,146.21,kidneybeans
30.85,69.79,16.23,18.95,19.63,5.57,107.67,kidneybeans
18.16,72.57,20.59,15.39,19.97,5.83,81.77,kidneybeans
31.9,60.94,18.43,19.76,23.62,5.87,105.05,kidneybeans
23.13,67.81,22.29,20.43,24.5,5.66,121.17,kidneybeans
32.16,57.61,21.52,17.28,20.84,5.82,66.86,kidneybeans
16.74,64.61,23.46,24.64,24.34,5.7,84.72,kidneybeans
19.37,67.19,21.92,24.09,20.25,5.86,132.63,kidneybeans
36.39,71.31,19.3,22.22,21.34,5.6,101.37,kidneybeans
20.68,78.76,21.73,20.33,19.58,5.95,109.19,kidneybeans
35.93,70.02,17.75,23.7,22.48,5.64,98.95,kidneybeans
21.98,73.59,18.06,16.31,24.85,5.68,63.95,kidneybeans
31.07,67.66,22.89,22.91,22.22,5.53,74.92,kidneybeans
32.35,70.85,19.46,16.25,20.5,5.56,100.1,kidneybeans
27.82,56.77,22.98,22.94,22.53,5.76,78.83,kidneybeans
22.63,61.36,23.22,17.76,18.86,5.63,64.5,kidneybeans
20.32,64.05,23.58,23.77,24.22,5.92,135.93,kidneybeans
15.83,66.81,24.17,24.44,21.52,5.51,148.31,kidneybeans
22.6,56.14,19.31,16.49,21.15,5.69,131.38,kidneybeans
31.33,58.5,18.19,19.63,22.1,5.67,136.84,kidneybeans
38.46,61.92,20.82,24.81,22.37,5.51,81.78,kidneybeans
36.78,79.29,18.71,19.83,18.5,5.56,146.46,kidneybeans
34.15,63.28,21.01,23.64,22.78,5.71,77.72,kidneybeans
34.71,67.05,22.06,20.89,19.69,5.75,145.63,kidneybeans
31.62,59.9,21.88,18.75,23.0,5.7,149.53,kidneybeans
21.51,70.27,18.75,17.86,23.76,5.77,124.06,kidneybeans
37.68,62.02,16.67,17.03,23.63,5.8,148.3,kidneybeans
31.77,60.17,19.31,22.62,21.87,5.5,111.26,kidneybeans
29.01,67.91,16.43,18.87,21.64,5.73,83.36,kidneybeans
17.77,55.14,23.9,20.11,19.0,5.98,99.33,kidneybeans
26.18,55.19,18.46,19.92,23.43,5.76,113.42,kidneybeans
26.51,60.48,16.54,20.77,19.9,5.84,66.58,kidneybeans
36.61,55.92,15.25,23.66,21.48,5.66,116.01,kidneybeans
28.67,57.7,21.46,24.81,19.99,5.89,148.31,kidneybeans
24.51,63.47,21.37,19.08,18.94,5.89,77.11,kidneybeans
34.81,58.2,21.73,28.93,49.37,6.08,97.4,pigeonpeas
37.7,74.14,22.97,35.48,47.61,7.49,100.44,pigeonpeas
38.59,55.0,17.5,37.15,36.79,6.4,199.88,pigeonpeas
39.0,65.41,21.25,32.34,60.06,5.8,125.93,pigeonpeas
28.04,68.06,20.72,30.59,53.69,5.55,172.3,pigeonpeas
39.43,56.37,23.33,32.34,59.33,5.88,178.73,pigeonpeas
33.93,79.33,24.06,35.23,60.06,5.93,184.38,pigeonpeas
19.04,60.65,15.12,28.09,56.19,5.17,199.74,pigeonpeas
26.92,62.6,21.74,33.89,45.37,5.92,116.56,pigeonpeas
32.96,62.6,15.52,34.13,51.37,6.16,94.44,pigeonpeas
21.18,60.76,20.49,34.38,35.61,6.81,135.23,pigeonpeas
31.02,55.04,17.88,30.42,53.58,6.64,104.31,pigeonpeas
31.67,73.23,18.07,35.14,36.27,6.77,92.47,pigeonpeas
19.07,79.17,18.53,28.91,54.29,5.02,129.65,pigeonpeas
29.13,60.61,21.21,29.99,38.04,5.54,176.21,pigeonpeas
34.29,71.58,18.34,36.77,34.11,6.65,152.28,pigeonpeas
27.47,73.55,22.33,35.39,35.78,6.21,124.41,pigeonpeas
15.3,76.21,19.05,28.14,30.07,5.01,161.98,pigeonpeas
15.23,65.57,15.68,30.48,55.16,7.01,115.52,pigeonpeas
23.93,62.57,22.84,30.14,55.63,6.93,91.58,pigeonpeas
38.15,63.13,17.86,30.71,48.02,6.37,174.08,pigeonpeas
20.72,72.82,19.33,30.48,35.65,5.17,158.61,pigeonpeas
30.86,75.42,21.85,28.63,32.92,6.92,173.85,pigeonpeas
20.55,59.54,18.32,32.59,30.67,6.46,94.28,pigeonpeas
23.04,64.27,15.57,35.33,35.8,6.95,182.08,pigeonpeas
36.2,77.55,18.74,34.07,61.18,6.88,158.15,pigeonpeas
